MTry	OverlapUnsupRfPlink	OverlapSupRfPlink
711	0.13	0.61
712	0.13	0.56
713	0.09	0.63
714	0.13	0.62
715	0.07	0.63
716	0.09	0.63
717	0.08	0.58
718	0.09	0.58
719	0.13	0.63
720	0.13	0.61
721	0.12	0.59
722	0.12	0.61
723	0.09	0.59
724	0.14	0.61
725	0.1	0.53
726	0.09	0.57
727	0.09	0.62
728	0.09	0.64
729	0.1	0.61
730	0.11	0.59
731	0.12	0.62
732	0.06	0.58
733	0.13	0.59
734	0.1	0.61
735	0.14	0.6
736	0.11	0.58
737	0.11	0.62
738	0.08	0.63
739	0.14	0.62
740	0.11	0.59
741	0.1	0.58
742	0.09	0.64
743	0.1	0.62
744	0.09	0.61
745	0.09	0.6
746	0.11	0.62
747	0.12	0.58
748	0.11	0.61
749	0.12	0.57
750	0.12	0.6
751	0.08	0.57
752	0.09	0.59
753	0.12	0.64
754	0.12	0.59
755	0.11	0.6
756	0.1	0.62
757	0.11	0.56
758	0.11	0.62
759	0.1	0.63
760	0.09	0.6
761	0.11	0.59
762	0.13	0.63
763	0.11	0.64
764	0.11	0.62
765	0.09	0.6
766	0.14	0.6
767	0.1	0.57
768	0.13	0.6
769	0.1	0.56
770	0.09	0.65
771	0.1	0.64
772	0.12	0.62
773	0.1	0.64
774	0.1	0.63
775	0.1	0.59
776	0.09	0.61
777	0.12	0.59
778	0.11	0.6
779	0.09	0.6
780	0.13	0.64
781	0.11	0.6
782	0.09	0.61
783	0.1	0.61
784	0.08	0.62
785	0.07	0.58
786	0.12	0.58
787	0.1	0.61
788	0.1	0.62
789	0.07	0.6
790	0.09	0.58
791	0.1	0.59
792	0.14	0.62
793	0.12	0.58
794	0.1	0.59
795	0.12	0.65
796	0.11	0.65
797	0.11	0.6
798	0.11	0.61
799	0.09	0.58
800	0.13	0.61
801	0.11	0.62
802	0.11	0.62
803	0.1	0.62
804	0.09	0.59
805	0.07	0.59
806	0.12	0.58
807	0.15	0.58
808	0.12	0.64
809	0.13	0.62
810	0.1	0.58
811	0.1	0.63
812	0.13	0.6
813	0.09	0.58
814	0.1	0.61
815	0.1	0.58
816	0.11	0.6
817	0.1	0.63
818	0.09	0.65
819	0.11	0.63
820	0.13	0.58
821	0.12	0.66
822	0.11	0.6
823	0.09	0.61
824	0.14	0.65
825	0.13	0.69
826	0.08	0.6
827	0.1	0.59
828	0.1	0.63
829	0.1	0.6
830	0.07	0.6
831	0.1	0.65
832	0.08	0.55
833	0.12	0.58
834	0.09	0.62
835	0.12	0.59
836	0.1	0.61
837	0.12	0.59
838	0.08	0.57
839	0.1	0.59
840	0.11	0.62
841	0.14	0.64
842	0.11	0.61
843	0.07	0.54
844	0.13	0.62
845	0.12	0.62
846	0.06	0.63
847	0.12	0.63
848	0.11	0.56
849	0.11	0.62
850	0.13	0.62
851	0.12	0.63
852	0.1	0.59
853	0.11	0.62
854	0.15	0.63
855	0.09	0.64
856	0.1	0.6
857	0.13	0.64
858	0.12	0.58
859	0.09	0.62
860	0.09	0.61
861	0.09	0.61
862	0.11	0.59
863	0.09	0.6
864	0.11	0.6
865	0.1	0.6
866	0.1	0.65
867	0.08	0.59
868	0.09	0.66
869	0.11	0.63
870	0.11	0.62
871	0.1	0.65
872	0.09	0.64
873	0.1	0.62
874	0.1	0.63
875	0.1	0.61
876	0.14	0.58
877	0.13	0.64
878	0.09	0.62
879	0.1	0.65
880	0.14	0.63
881	0.13	0.59
882	0.12	0.6
883	0.11	0.55
884	0.12	0.65
885	0.1	0.61
886	0.11	0.6
887	0.14	0.67
888	0.15	0.6
889	0.11	0.59
890	0.08	0.6
891	0.1	0.6
892	0.12	0.58
893	0.12	0.61
894	0.08	0.61
895	0.13	0.57
896	0.12	0.64
897	0.11	0.62
898	0.09	0.57
899	0.1	0.67
900	0.09	0.64
901	0.14	0.61
902	0.1	0.57
903	0.09	0.59
904	0.08	0.66
905	0.1	0.56
906	0.08	0.61
907	0.09	0.56
908	0.09	0.55
909	0.12	0.62
910	0.1	0.6
911	0.12	0.63
912	0.11	0.6
913	0.1	0.59
914	0.13	0.62
915	0.08	0.6
916	0.12	0.61
917	0.09	0.6
918	0.09	0.63
919	0.12	0.61
920	0.1	0.62
921	0.11	0.62
922	0.08	0.57
923	0.14	0.65
924	0.08	0.55
925	0.15	0.59
926	0.12	0.65
927	0.15	0.62
928	0.08	0.65
929	0.14	0.59
930	0.13	0.64
931	0.08	0.6
932	0.12	0.61
933	0.13	0.58
934	0.1	0.59
935	0.08	0.54
936	0.07	0.58
937	0.1	0.6
938	0.1	0.64
939	0.08	0.57
940	0.11	0.65
941	0.09	0.58
942	0.12	0.6
943	0.11	0.59
944	0.12	0.62
945	0.14	0.63
946	0.09	0.62
947	0.1	0.56
948	0.1	0.57
949	0.11	0.6
950	0.1	0.62
951	0.11	0.61
952	0.09	0.58
953	0.1	0.6
954	0.1	0.58
955	0.13	0.61
956	0.14	0.56
957	0.12	0.59
958	0.08	0.59
959	0.08	0.66
960	0.09	0.66
961	0.08	0.59
962	0.11	0.64
963	0.11	0.57
964	0.13	0.55
965	0.09	0.64
966	0.1	0.66
967	0.12	0.62
968	0.1	0.58
969	0.11	0.53
970	0.13	0.57
971	0.08	0.61
972	0.11	0.61
973	0.14	0.59
974	0.13	0.61
975	0.09	0.6
976	0.12	0.6
977	0.11	0.61
978	0.12	0.63
979	0.09	0.64
980	0.11	0.58
981	0.1	0.56
982	0.1	0.56
983	0.1	0.59
984	0.1	0.62
985	0.1	0.6
986	0.12	0.63
987	0.13	0.55
988	0.09	0.67
989	0.07	0.57
990	0.1	0.66
991	0.12	0.62
992	0.1	0.56
993	0.11	0.58
994	0.11	0.61
995	0.09	0.63
996	0.09	0.61
997	0.11	0.63
998	0.11	0.56
999	0.11	0.61
